Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,614,646,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1522,1611,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,2694,2831,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,3320,3445,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,3370,3433,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,11885,12352,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,25,25,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,180,183,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,773,779,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2606,2627,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,7443,7487,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,14087,14157,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,18181,18307,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,21800,22035,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,65095,65600,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,6,7,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,47,50,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,173,181,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,784,836,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,3016,3219,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,7132,7584,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,10889,11471,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,12895,13514,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,1,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,34943,36863,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,0-24,84,84,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,25-34,318,318,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,35-44,805,805,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,45-54,2313,2313,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,55-64,5235,5237,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,65-74,8544,8544,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,75-84,9401,9402,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,85+,9730,9731,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrest,I46,All Ages,36430,36434,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,17,17,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,43,43,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,128,130,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,445,461,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1485,1519,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,3854,3958,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,6734,6879,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,9213,9371,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,21919,22378,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,0-24,10,10,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,25-34,55,55,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,35-44,146,146,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,45-54,521,522,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,55-64,1748,1749,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,65-74,3943,3947,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,75-84,6649,6652,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,85+,10344,10347,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Heart failure,I50,All Ages,23416,23428,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,14,14,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,44,47,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,150,163,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,523,550,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1694,1751,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,3385,3475,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,4608,4703,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,5292,5413,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,15711,16117,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,63,75,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,168,192,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,365,418,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,942,1032,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,2220,2404,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,3899,4264,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,4872,5291,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,5589,6047,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,18118,19723,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,0-24,60,61,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,25-34,242,242,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,35-44,655,655,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,45-54,2042,2043,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,55-64,4871,4874,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,65-74,8258,8261,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,75-84,7849,7852,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,85+,5528,5529,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Sepsis,Sepsis,A40-A41,All Ages,29505,29517,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,36,42,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,54,62,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,168,181,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,459,538,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1778,2036,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,3636,4072,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,4255,4795,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,3551,3912,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,13937,15638,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,0-24,69,69,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,25-34,289,290,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,35-44,1033,1040,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,45-54,3173,3191,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,55-64,8010,8060,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,65-74,13720,13791,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,75-84,14188,14247,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,85+,10500,10534,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Diabetes,Diabetes,E10-E14,All Ages,50982,51222,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,0-24,135,135,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,25-34,497,498,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,35-44,1108,1113,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,45-54,1984,1986,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,55-64,2969,2977,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,65-74,3135,3146,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,75-84,1711,1714,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,85+,468,468,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Obesity,Obesity,E65-E68,All Ages,12007,12037,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,35-44,2,2,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,45-54,7,7,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,55-64,99,99,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,65-74,823,824,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,75-84,3604,3607,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,85+,8072,8089,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Alzheimer disease,Alzheimer disease,G30,All Ages,12607,12628,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,3,3,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,38,38,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,481,481,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,3122,3128,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,10490,10503,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,21253,21274,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,35388,35428,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,0-24,34,35,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,25-34,192,202,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,35-44,545,557,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,45-54,1614,1656,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,55-64,4007,4134,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,65-74,7099,7367,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,75-84,7758,8126,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,85+,6848,7167,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,Not stated,1,2,
01/10/2021,01/04/2020,01/09/2021,US,Renal failure,Renal failure,N17-N19,All Ages,28098,29246,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,42,113,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,111,282,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,161,393,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,295,642,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,660,1333,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1133,2223,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1460,2883,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1885,3912,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
01/10/2021,01/04/2020,01/09/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,5747,11781,
01/10/2021,01/04/2020,01/09/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,289,508,
01/10/2021,01/04/2020,01/09/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,849,1359,
01/10/2021,01/04/2020,01/09/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1954,3080,
